mission,categories
te servir a boire,social
te faire un compliment sincere,social
faire 1 pompe ou 30 secondes de gainage,sport
porter tes chaussures,prank
te laisser faire son vernis,art
faire du judo avec quelqu'un dans cette maison,sport
"regarder le debut du clip de ""Never gonna give you up"" de Rick Astley",prank
mimer un gorille,prank
parler avec un accent ou la voix de quelqu'un de dessin anime (Voix de Mickey Mouse Batman...),challenge
poser comme une star pour une photo,social
jouer pierre-feuille-ciseaux et faire 3 fois pierre d'affilee,social
te montrer son cv,social
croire que Zucman est de ta famille,prank
boire 3 verres d'eau en 1 repas et qu'a chaque fois ce soit toi qui lui sert,social
lecher un pied (celui de n'importe qui),challenge
te faire un calin tres sensuel,challenge
te faire un bisous sur la joue,social
attaquer quelqu'un,challenge
hurler de toutes ses forces,challenge
lancer un débat clivant,social
